24,-200
1,400
1,400
13,-200
16,-200
26,-200
21,200
30,200
19,200
28,200
1,-5300
16,-200
8,200
27,200
8,-211
21,-200
14,-200
30,300
11,-200
23,200
14,-200
5,-211
17,-200
11,-200
19,200
8,-200
20,200
28,-200
12,-200
1,400
1,400
19,-200
26,200
23,300
7,-5300
17,-200
1,-200
29,-200
1,400
15,-200
30,-200
27,300
1,400
27,-200
1,400
13,-200
10,-5300
17,-200
1,400
24,-200
1,400
21,200
29,300
14,-200
27,200
1,400
28,300
9,-211
1,400
25,200
20,-200
5,-200
15,200
26,200
22,-200
10,-200
11,200
15,-200
7,-200
17,200
5,-5300
7,-200
1,200
19,-200
4,-5300
19,200
1,400
30,-200
1,400
4,200
9,200
5,200
12,300
25,200
23,-200
29,-200
25,200
19,300
3,200
1,400
28,-200
14,200
18,-200
14,200
1,400
1,400
16,-200
3,-200
27,200
22,200
24,-200
25,-200
9,-200
6,200
14,200
13,-200
13,200
11,200
1,400
1,-211
18,200
16,200
22,200
14,-200
13,-200
18,-200
1,400
29,200
30,200
20,200
6,200
24,200
29,-200
18,200
6,-211
7,200
1,400
21,-200
4,-211
24,200
1,400
20,300
11,300
4,-200
27,-200
15,200
18,300
22,-200
22,-200
1,-200
10,200
29,-200
1,400
13,-200
1,400
17,-200
1,400
25,300
1,400
24,300
1,400
18,-200
21,-200
23,-200
4,200
14,200
1,400
18,-200
21,200
17,200
26,200
20,200
20,-200
15,300
1,400
12,200
28,200
4,-200
17,300
23,200
1,200
6,200
3,400
22,-200
3,200
12,-200
9,200
26,-200
7,-211
1,400
23,200
14,-200
21,-200
6,400
5,200
3,-211
10,200
30,200
29,-200
2,200
6,-200
1,400
11,-200
6,-5300
20,-200
23,-200
16,200
26,-200
14,-200
5,400
